0,0,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
0,0,Alabama,US,4/24/20 3:33,32.3182,-86.9023,5832,202,0,5630,1,124.3789318,52641,768,3.463648834,84000001,USA,1122.673413,13.16872428
0,0,Alaska,US,4/24/20 3:33,61.3707,-152.4044,337,9,209,328,2,56.3781788,12161,42,2.670623145,84000002,USA,2034.465972,12.46290801
0,0,American Samoa,US,4/24/20 3:33,-14.271,-170.132,0,0,0,,60,0,3,,,16,ASM,5.391707554,
0,0,Arizona,US,4/24/20 3:33,33.7298,-111.4312,5772,249,1282,5523,4,79.29968977,58697,699,4.313929314,84000004,USA,806.4195929,12.11018711
0,0,Arkansas,US,4/24/20 3:33,34.9697,-92.3731,2599,45,902,2554,5,100.3852026,31590,291,1.731435167,84000005,USA,1220.1495,11.19661408
0,0,California,US,4/24/20 3:33,36.1162,-119.6816,39561,1533,0,38028,6,100.8987309,482097,4929,3.875028437,84000006,USA,1229.568906,12.45924016
0,0,Colorado,US,4/24/20 3:33,39.0598,-105.3111,11278,552,0,10726,8,199.0183901,50645,2123,4.894484838,84000008,USA,893.7122153,18.82425962
0,0,Connecticut,US,4/24/20 3:33,41.5978,-72.7554,23100,1639,0,21461,9,647.9141791,71497,1947,7.095238095,84000009,USA,2005.364505,8.428571429
0,0,Delaware,US,4/24/20 3:33,39.3185,-75.5071,3308,92,643,3216,10,339.7127025,16912,290,2.781136638,84000010,USA,1736.765787,8.76662636
0,0,Diamond Princess,US,4/24/20 3:33,,,49,0,0,49,88888,,,,0,84088888,USA,,
0,0,District of Columbia,US,4/24/20 3:33,38.8974,-77.0268,3361,139,648,3222,11,476.2316348,15930,402,4.135673907,84000011,USA,2257.176418,11.96072597
0,0,Florida,US,4/24/20 3:33,27.7663,-81.6868,29648,987,0,28661,12,139.6342964,296708,4693,3.329060982,84000012,USA,1397.416784,15.82906098
0,0,Georgia,US,4/24/20 3:33,33.0406,-83.6431,21883,881,0,21002,13,215.821598,101062,4069,4.025956222,84000013,USA,996.7263326,18.59434264
0,0,Grand Princess,US,4/24/20 3:33,,,103,3,0,100,99999,,,,2.912621359,84099999,USA,,
0,0,Guam,US,4/24/20 3:33,13.4443,144.7937,139,5,126,134,66,84.63791413,1315,2,3.597122302,316,GUM,800.711202,1.438848921
0,0,Hawaii,US,4/24/20 3:33,21.0943,-157.4983,596,12,444,584,15,42.09675756,26128,63,2.013422819,84000015,USA,1845.476647,10.5704698
0,0,Idaho,US,4/24/20 3:33,44.2405,-114.4788,1836,54,767,1782,16,114.0020751,18092,162,2.941176471,84000016,USA,1123.379926,8.823529412
