0,0,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
0,0,Ohio,US,4/29/20 2:32,40.3888,-82.7649,16769,799,0,15970,39,150.0734751,122706,3340,4.764744469,84000039,USA,1098.152295,19.91770529
0,0,Oklahoma,US,4/29/20 2:32,35.5653,-96.9289,3410,207,2260,3203,40,93.22966705,59699,656,6.070381232,84000040,USA,1632.175335,19.23753666
0,0,Oregon,US,4/29/20 2:32,44.572,-122.0709,2385,99,0,2286,41,59.51973934,51198,554,4.150943396,84000041,USA,1277.690405,23.22851153
0,0,Pennsylvania,US,4/29/20 2:32,40.5908,-77.2098,45137,2046,0,43091,42,358.5859842,209088,,4.532866606,84000042,USA,1661.076861,
0,0,Puerto Rico,US,4/29/20 2:32,18.2208,-66.5901,1400,86,0,1314,72,47.72605788,10713,,6.142857143,630,PRI,365.2066129,
0,0,Rhode Island,US,4/29/20 2:32,41.6809,-71.5118,7927,239,466,7688,44,748.2812752,57693,732,3.015011984,84000044,USA,5446.018874,9.234262647
0,0,South Carolina,US,4/29/20 2:32,33.8569,-80.945,5735,192,2830,5543,45,113.790247,52145,944,3.347863993,84000045,USA,1034.628148,16.4603313
0,0,South Dakota,US,4/29/20 2:32,44.2998,-99.4388,2313,11,1392,2302,46,314.3124263,16612,157,0.475572849,84000046,USA,2257.396466,6.787721574
0,0,Tennessee,US,4/29/20 2:32,35.7478,-86.6923,10052,188,4921,9864,47,153.1166598,161928,894,1.870274572,84000047,USA,2466.561329,8.893752487
0,0,Texas,US,4/29/20 2:32,31.0545,-97.5635,26357,719,11786,25638,48,114.6726274,300384,,2.727928065,84000048,USA,1306.894659,
0,0,Utah,US,4/29/20 2:32,40.15,-111.8624,4345,41,1704,4304,49,151.6112666,102439,370,0.943613349,84000049,USA,3574.431885,8.515535098
0,0,Vermont,US,4/29/20 2:32,44.0459,-72.7107,862,47,0,815,50,141.174698,15215,,5.452436195,84000050,USA,2491.848062,
0,0,Virgin Islands,US,4/29/20 2:32,18.3358,-64.8963,57,4,51,53,78,53.13793489,778,,7.01754386,850,VIR,725.2861991,
0,0,Virginia,US,4/29/20 2:32,37.7693,-78.17,14339,492,1914,13847,51,181.3403682,82753,3422,3.431201618,84000051,USA,1046.548538,23.86498361
0,0,Washington,US,4/29/20 2:32,47.4009,-121.4905,13842,786,0,13056,53,183.3522465,179679,,5.678370178,84000053,USA,2380.042501,
0,0,West Virginia,US,4/29/20 2:32,38.4912,-80.9545,1095,38,481,1057,54,82.76656503,43055,,3.470319635,84000054,USA,3254.351103,
0,0,Wisconsin,US,4/29/20 2:32,44.2685,-89.6165,6289,300,0,5989,55,121.5366453,69824,1456,4.770233741,84000055,USA,1349.367899,23.15153443
0,0,Wyoming,US,4/29/20 2:32,42.756,-107.3025,536,7,343,529,56,107.7950286,8615,56,1.305970149,84000056,USA,1732.563752,10.44776119
0,0,Recovered,US,4/29/20 2:32,,,0,0,115936,-115936,,,,,,84070001,USA,,
