0,0,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
0,0,Alabama,US,4/25/20 6:32,32.3182,-86.9023,6026,209,0,5817,1,128.5163654,52889,769,3.468304016,84000001,USA,1127.962504,12.76136741
0,0,Alaska,US,4/25/20 6:32,61.3707,-152.4044,339,9,208,330,2,56.7127674,12281,36,2.654867257,84000002,USA,2054.541287,10.61946903
0,0,American Samoa,US,4/25/20 6:32,-14.271,-170.132,0,0,0,,60,0,3,,,16,ASM,5.391707554,
0,0,Arizona,US,4/25/20 6:32,33.7298,-111.4312,6045,266,1313,5779,4,83.05035077,60714,984,4.400330852,84000004,USA,834.1305205,16.27791563
0,0,Arkansas,US,4/25/20 6:32,34.9697,-92.3731,2810,47,929,2763,5,108.5349824,35578,291,1.672597865,84000005,USA,1374.184201,10.35587189
0,0,California,US,4/25/20 6:32,36.1162,-119.6816,41355,1621,0,39734,6,105.4742554,494173,4880,3.919719502,84000006,USA,1260.368256,11.80026599
0,0,Colorado,US,4/25/20 6:32,39.0598,-105.3111,12256,674,0,11582,8,216.2767679,56789,2366,5.499347258,84000008,USA,1002.132945,19.30483029
0,0,Connecticut,US,4/25/20 6:32,41.5978,-72.7554,23936,1767,0,22169,9,671.3625018,74038,1877,7.382185829,84000009,USA,2076.635065,7.841744652
0,0,Delaware,US,4/25/20 6:32,39.3185,-75.5071,3442,100,703,3342,10,353.473737,17379,277,2.905287623,84000010,USA,1784.724019,8.047646717
0,0,Diamond Princess,US,4/25/20 6:32,,,49,0,0,49,88888,,,,0,84088888,USA,,
0,0,District of Columbia,US,4/25/20 6:32,38.8974,-77.0268,3528,153,651,3375,11,499.8944384,16533,402,4.336734694,84000011,USA,2342.61756,11.39455782
0,0,Florida,US,4/25/20 6:32,27.7663,-81.6868,30533,1046,0,29487,12,143.8024141,319038,5009,3.425801592,84000012,USA,1502.585222,16.40520093
0,0,Georgia,US,4/25/20 6:32,33.0406,-83.6431,22491,899,0,21592,13,221.8180122,107520,4322,3.997154417,84000013,USA,1060.418508,19.21657552
0,0,Grand Princess,US,4/25/20 6:32,,,103,3,0,100,99999,,,,2.912621359,84099999,USA,,
0,0,Guam,US,4/25/20 6:32,13.4443,144.7937,141,5,126,136,66,85.85572585,1374,2,3.546099291,316,GUM,836.6366476,1.418439716
0,0,Hawaii,US,4/25/20 6:32,21.0943,-157.4983,601,13,463,588,15,42.44991828,28040,67,2.163061564,84000015,USA,1980.525305,11.14808652
0,0,Idaho,US,4/25/20 6:32,44.2405,-114.4788,1870,54,867,1816,16,116.1132247,19361,168,2.887700535,84000016,USA,1202.175478,8.983957219
0,0,Illinois,US,4/25/20 6:32,40.3495,-88.9861,39658,1795,0,37863,17,337.9275103,189632,4828,4.526199001,84000017,USA,1615.862364,12.17408846
0,0,Indiana,US,4/25/20 6:32,39.8494,-86.2583,13681,741,0,12940,18,209.0619276,75553,,5.41627074,84000018,USA,1154.539567,
