0,0,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
0,0,Alabama,US,4/22/20 23:40,32.3182,-86.9023,5593,196,0,5397,1,119.2817842,48760,730,3.504380476,84000001,USA,1039.903414,13.05202932
0,0,Alaska,US,4/22/20 23:40,61.3707,-152.4044,335,9,196,326,2,56.0435902,12159,39,2.686567164,84000002,USA,2034.131383,11.64179104
0,0,American Samoa,US,4/22/20 23:40,-14.271,-170.132,0,0,0,,60,0,3,,,16,ASM,5.391707554,
0,0,Arizona,US,4/22/20 23:40,33.7298,-111.4312,5473,231,1265,5242,4,75.19182295,56601,664,4.220719898,84000004,USA,777.6233092,12.13228577
0,0,Arkansas,US,4/22/20 23:40,34.9697,-92.3731,2276,42,863,2234,5,87.90947333,29713,291,1.845342707,84000005,USA,1147.651222,12.78558875
0,0,California,US,4/22/20 23:40,36.1162,-119.6816,37344,1421,0,35923,6,95.24436208,465327,4984,3.805162811,84000006,USA,1186.797699,13.3461868
0,0,Colorado,US,4/22/20 23:40,39.0598,-105.3111,10891,506,0,10385,8,192.1891546,48704,2003,4.646038013,84000008,USA,859.4601586,18.39133229
0,0,Connecticut,US,4/22/20 23:40,41.5978,-72.7554,22469,1544,0,20925,9,630.2157442,69918,1972,6.871689884,84000009,USA,1961.076345,8.776536561
0,0,Delaware,US,4/22/20 23:40,39.3185,-75.5071,3200,89,599,3111,10,328.6217194,16553,269,2.78125,84000010,USA,1699.898538,8.40625
0,0,Diamond Princess,US,4/22/20 23:40,,,49,0,0,49,88888,,,,0,84088888,USA,,
0,0,District of Columbia,US,4/22/20 23:40,38.8974,-77.0268,3206,127,645,3079,11,454.2691523,15502,402,3.96132252,84000011,USA,2196.531628,12.53898939
0,0,Florida,US,4/22/20 23:40,27.7663,-81.6868,28309,893,0,27416,12,133.327958,288627,4469,3.154473842,84000012,USA,1359.357396,15.78649899
0,0,Georgia,US,4/22/20 23:40,33.0406,-83.6431,21214,848,0,20366,13,209.2235699,94072,3959,3.997360234,84000013,USA,927.7872946,18.6622042
0,0,Grand Princess,US,4/22/20 23:40,,,103,0,0,103,99999,,,,0,84099999,USA,,
0,0,Guam,US,4/22/20 23:40,13.4443,144.7937,136,5,119,131,66,82.81119656,1220,3,3.676470588,316,GUM,742.8651456,2.205882353
0,0,Hawaii,US,4/22/20 23:40,21.0943,-157.4983,592,12,437,580,15,41.81422899,25342,56,2.027027027,84000015,USA,1789.959782,9.459459459
0,0,Idaho,US,4/22/20 23:40,44.2405,-114.4788,1766,51,710,1715,16,109.6555908,17730,158,2.88788222,84000016,USA,1100.902392,8.946772367
0,0,Illinois,US,4/22/20 23:40,40.3495,-88.9861,35107,1565,0,33542,17,299.1482451,164346,4665,4.457800439,84000017,USA,1400.399279,13.28794827
0,0,Indiana,US,4/22/20 23:40,39.8494,-86.2583,12438,666,0,11772,18,190.0674114,69470,,5.354558611,84000018,USA,1061.584103,
0,0,Iowa,US,4/22/20 23:40,42.0115,-93.2105,3748,90,1428,3658,19,143.0145155,28244,272,2.401280683,84000019,USA,1077.721979,7.257203842
0,0,Kansas,US,4/22/20 23:40,38.5266,-96.7265,2331,112,0,2219,20,95.5920226,20203,432,4.804804805,84000020,USA,828.5052049,18.53281853
0,0,Kentucky,US,4/22/20 23:40,37.6681,-84.6701,3378,185,1266,3193,21,98.67662897,33328,1076,5.476613381,84000021,USA,973.5626674,31.85316755
0,0,Louisiana,US,4/22/20 23:40,31.1695,-91.8678,25258,1473,0,23785,22,549.4134992,142834,1747,5.831815662,84000022,USA,3106.933556,6.916620477
